type,organism,species
Complex,C. glabrata,316
Complex,C. glabrata,311
Complex,C. glabrata,276
Complex,C. glabrata,311
Complex,C. glabrata,77
Complex,C. glabrata,333
Complex,C. glabrata,76
Complex,C. glabrata,313
Complex,C. glabrata,4
Complex,C. glabrata,332
Complex,C. glabrata,247
Complex,C. glabrata,214
Complex,C. glabrata,286
Complex,C. glabrata,1
Complex,C. glabrata,343
Complex,C. glabrata,343
Complex,C. glabrata,327
Complex,C. glabrata,341
Complex,C. glabrata,278
Complex,C. glabrata,320
Complex,C. glabrata,339
Complex,C. glabrata,341
Complex,C. glabrata,340
Complex,C. glabrata,328
Complex,C. glabrata,331
Complex,C. glabrata,331
Complex,C. glabrata,339
Complex,C. glabrata,343
Complex,C. glabrata,299
Complex,C. glabrata,316
Complex,C. glabrata,328
Complex,C. glabrata,67
Complex,C. glabrata,298
Complex,C. glabrata,191
Complex,C. glabrata,343
Complex,C. glabrata,189
Complex,C. glabrata,4
Complex,C. glabrata,309
Complex,C. glabrata,290
Complex,C. glabrata,287
Complex,C. glabrata,336
Complex,C. glabrata,314
Complex,C. glabrata,333
Complex,C. glabrata,282
Complex,C. glabrata,297
Complex,C. glabrata,341
Complex,C. glabrata,325
Complex,C. glabrata,46
Complex,C. glabrata,307
Complex,C. glabrata,180
Complex,C. glabrata,343
Complex,C. glabrata,339
Complex,C. glabrata,324
Complex,C. glabrata,322
Complex,C. glabrata,343
Complex,C. glabrata,328
Complex,C. glabrata,325
Complex,C. glabrata,342
Complex,C. glabrata,325
Complex,C. glabrata,300
Complex,C. glabrata,318
Complex,C. glabrata,314
Complex,C. glabrata,335
Complex,C. glabrata,113
Complex,C. glabrata,342
Complex,C. glabrata,334
Complex,C. glabrata,72
Complex,C. glabrata,341
Complex,C. glabrata,259
Complex,C. glabrata,296
Complex,C. glabrata,255
Complex,C. glabrata,330
Complex,C. glabrata,330
Complex,C. glabrata,318
Complex,C. glabrata,332
Complex,C. glabrata,320
Complex,C. glabrata,299
Complex,C. glabrata,333
Complex,C. glabrata,318
Complex,C. glabrata,320
Complex,C. glabrata,302
Complex,C. glabrata,333
Complex,C. glabrata,285
Complex,C. glabrata,326
Complex,C. glabrata,343
Complex,C. glabrata,340
Complex,C. glabrata,343
Complex,C. glabrata,343
Complex,C. glabrata,331
Complex,C. glabrata,290
Complex,C. glabrata,309
Complex,C. glabrata,236
Complex,C. glabrata,342
Complex,C. glabrata,239
Complex,C. glabrata,239
Complex,C. glabrata,264
Complex,C. glabrata,338
Complex,C. glabrata,343
Complex,C. glabrata,310
Complex,C. glabrata,309
Complex,C. glabrata,327
Complex,C. glabrata,342
Complex,C. glabrata,338
Complex,C. glabrata,336
Complex,C. glabrata,341
Complex,C. glabrata,339
Complex,C. glabrata,66
Complex,C. glabrata,301
Complex,C. glabrata,342
Complex,C. glabrata,29
Complex,C. glabrata,4
Complex,C. glabrata,305
Complex,C. glabrata,4
Complex,C. glabrata,337
Complex,C. glabrata,337
Complex,C. glabrata,334
Complex,C. glabrata,67
Complex,C. glabrata,279
Complex,C. glabrata,91
Complex,C. glabrata,49
Complex,C. glabrata,276
Complex,C. glabrata,306
Complex,C. glabrata,340
Complex,C. glabrata,336
Complex,C. glabrata,341
Complex,C. glabrata,324
Complex,C. glabrata,316
Complex,C. glabrata,321
Complex,C. glabrata,322
Complex,C. glabrata,343
Complex,C. glabrata,340
Complex,C. glabrata,336
Complex,C. glabrata,324
Complex,C. glabrata,330
Complex,C. glabrata,307
Complex,C. glabrata,253
Complex,C. glabrata,343
Complex,C. glabrata,343
Complex,C. glabrata,275
Complex,C. glabrata,340
Complex,C. glabrata,257
Complex,C. glabrata,326
Complex,C. glabrata,58
Complex,C. glabrata,336
Complex,C. glabrata,308
Complex,C. glabrata,305
Complex,C. glabrata,328
Complex,C. glabrata,312
Complex,C. glabrata,321
Complex,C. glabrata,323
Complex,C. glabrata,312
Complex,C. glabrata,58
Complex,C. glabrata,340
Complex,C. glabrata,337
Complex,C. glabrata,298
Complex,C. glabrata,331
Complex,C. glabrata,288
Complex,C. glabrata,309
Complex,C. glabrata,267
Complex,C. glabrata,297
Complex,C. glabrata,287
Complex,C. glabrata,309
Complex,C. glabrata,343
Complex,C. glabrata,296
Complex,C. glabrata,338
Complex,C. glabrata,329
Complex,C. glabrata,333
Complex,C. glabrata,305
Complex,C. glabrata,314
Complex,C. glabrata,5
Complex,C. glabrata,278
Complex,C. glabrata,287
Complex,C. glabrata,288
Complex,C. glabrata,72
Complex,C. glabrata,71
Complex,C. glabrata,324
Complex,C. glabrata,62
Complex,C. glabrata,52
Complex,C. glabrata,5
Complex,C. glabrata,72
Complex,C. glabrata,64
Complex,C. glabrata,333
Complex,C. glabrata,308
Complex,C. glabrata,330
Complex,C. glabrata,304
Complex,C. glabrata,337
Complex,C. glabrata,307
Complex,C. glabrata,332
Complex,C. glabrata,294
Complex,C. glabrata,52
Complex,C. glabrata,343
Complex,C. glabrata,285
Complex,C. glabrata,341
Complex,C. glabrata,343
Complex,C. glabrata,340
Complex,C. glabrata,310
Complex,C. glabrata,267
Complex,C. glabrata,343
Complex,C. glabrata,341
Complex,C. glabrata,340
Complex,C. glabrata,343
Complex,C. glabrata,340
Complex,C. glabrata,343
Complex,C. glabrata,312
Complex,C. glabrata,331
Complex,C. glabrata,342
Complex,C. glabrata,343
Complex,C. glabrata,342
Complex,C. glabrata,300
Complex,C. glabrata,308
Complex,C. glabrata,312
Complex,C. glabrata,326
Complex,C. glabrata,314
Complex,C. glabrata,45
Complex,C. glabrata,341
Complex,C. glabrata,324
Complex,C. glabrata,76
Complex,C. glabrata,342
Complex,C. glabrata,325
Complex,C. glabrata,324
Complex,C. glabrata,45
Complex,C. glabrata,327
Complex,C. glabrata,332
Complex,C. glabrata,342
Complex,C. glabrata,343
Complex,C. glabrata,301
Complex,C. glabrata,303
Complex,C. glabrata,186
Complex,C. glabrata,46
Complex,C. glabrata,71
Complex,C. glabrata,306
Complex,C. glabrata,325
Complex,C. glabrata,300
Complex,C. glabrata,305
Complex,C. glabrata,277
Complex,C. glabrata,334
Complex,C. glabrata,69
Complex,C. glabrata,112
Complex,C. glabrata,311
Complex,C. glabrata,235
Complex,C. glabrata,317
Complex,C. glabrata,274
Complex,C. glabrata,293
Complex,C. glabrata,263
Complex,C. glabrata,266
Complex,C. glabrata,325
Complex,C. glabrata,343
Complex,C. glabrata,314
Complex,C. glabrata,306
Complex,C. glabrata,223
Complex,C. glabrata,72
Complex,C. glabrata,96
Complex,C. glabrata,323
Complex,C. glabrata,285
Complex,C. glabrata,313
Complex,C. glabrata,341
Complex,C. glabrata,307
Complex,C. glabrata,338
Complex,C. glabrata,341
Complex,C. glabrata,316
Complex,C. glabrata,329
Complex,C. glabrata,4
Complex,C. glabrata,342
Complex,C. glabrata,1
Complex,C. glabrata,325
Complex,C. glabrata,328
Complex,C. glabrata,331
Complex,C. glabrata,316
Complex,C. glabrata,341
Complex,C. glabrata,300
Complex,C. glabrata,330
Complex,C. glabrata,291
Complex,C. glabrata,53
Complex,C. glabrata,187
Complex,C. glabrata,70
Complex,C. glabrata,317
Complex,C. glabrata,338
Complex,C. glabrata,212
Complex,C. glabrata,340
Complex,C. glabrata,316
Complex,C. glabrata,327
Complex,C. glabrata,336
Complex,C. glabrata,321
Complex,C. glabrata,343
Complex,C. glabrata,342
Complex,C. glabrata,338
Complex,C. glabrata,339
Complex,C. glabrata,323
Complex,C. glabrata,343
Complex,C. glabrata,321
Complex,C. glabrata,4
Complex,C. glabrata,243
Complex,C. glabrata,334
Complex,C. glabrata,73
Complex,C. glabrata,334
Complex,C. glabrata,289
Complex,C. glabrata,331
Complex,C. glabrata,332
Complex,C. glabrata,68
Complex,C. glabrata,4
Complex,C. glabrata,327
Complex,C. glabrata,101
Complex,C. glabrata,329
Complex,C. glabrata,309
Complex,C. glabrata,342
Complex,C. glabrata,67
Complex,C. glabrata,343
Complex,C. glabrata,339
Complex,C. glabrata,309
Complex,C. glabrata,313
Complex,C. glabrata,289
Complex,C. glabrata,337
Complex,C. glabrata,318
Complex,C. glabrata,305
Complex,C. glabrata,257
Complex,C. glabrata,236
Complex,C. glabrata,327
Complex,C. glabrata,332
Complex,C. glabrata,330
Complex,C. glabrata,333
Complex,C. glabrata,317
Complex,C. glabrata,331
Complex,C. glabrata,303
Complex,C. glabrata,317
Complex,C. glabrata,341
Complex,C. glabrata,326
Complex,C. glabrata,327
Complex,C. glabrata,316
Complex,C. glabrata,153
Complex,C. glabrata,339
Complex,C. glabrata,255
Complex,C. glabrata,343
Complex,C. glabrata,314
Complex,C. glabrata,277
Complex,C. glabrata,342
Complex,C. glabrata,343
Complex,C. glabrata,280
Complex,C. glabrata,343
Complex,C. glabrata,343
Complex,C. glabrata,342
Complex,C. glabrata,343
Complex,C. glabrata,339
Complex,C. glabrata,71
Complex,C. glabrata,338
Complex,C. glabrata,70
Complex,C. glabrata,335
Complex,C. glabrata,343
Complex,C. glabrata,336
Complex,C. glabrata,330
Complex,C. glabrata,318
Complex,C. glabrata,343
Complex,C. glabrata,335
Complex,C. glabrata,283
Complex,C. glabrata,71
Complex,C. glabrata,325
Complex,C. glabrata,343
Complex,C. glabrata,339
Complex,C. glabrata,330
Complex,C. glabrata,327
Complex,C. glabrata,343
Complex,C. glabrata,322
Complex,C. glabrata,309
Complex,C. glabrata,332
Complex,C. glabrata,335
Complex,C. glabrata,315
Complex,C. glabrata,343
Complex,C. glabrata,338
Complex,C. glabrata,340
Complex,C. glabrata,324
Complex,C. glabrata,340
Complex,C. glabrata,343
Complex,C. glabrata,314
Complex,C. glabrata,328
Complex,C. glabrata,319
Complex,C. glabrata,268
Complex,C. glabrata,322
Complex,C. glabrata,310
Complex,C. glabrata,343
Complex,C. glabrata,318
Complex,C. glabrata,316
Complex,C. glabrata,340
Complex,C. glabrata,66
Complex,C. glabrata,68
Complex,C. glabrata,234
Complex,C. glabrata,340
Complex,C. glabrata,4
Complex,C. glabrata,302
Complex,C. glabrata,312
Complex,C. glabrata,323
Complex,C. glabrata,339
Complex,C. glabrata,51
Complex,C. glabrata,60
Complex,C. glabrata,315
Complex,C. glabrata,315
