type,organism,paralog
Complex,C. glabrata,1.01438848920863
Complex,C. glabrata,1.00696864111498
Complex,C. glabrata,1.01041666666667
Complex,C. glabrata,1.01388888888889
Complex,C. glabrata,1.01408450704225
Complex,C. glabrata,1.03703703703704
Complex,C. glabrata,1.01612903225806
Complex,C. glabrata,1.03846153846154
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0
Complex,C. glabrata,1.015625
Complex,C. glabrata,1.00900900900901
Complex,C. glabrata,1.01298701298701
Complex,C. glabrata,1.01212121212121
Complex,C. glabrata,1.07565789473684
Complex,C. glabrata,1.01780415430267
Complex,C. glabrata,1.00977198697068
Complex,C. glabrata,1.01506024096386
Complex,C. glabrata,1.00680272108844
Complex,C. glabrata,1.01923076923077
Complex,C. glabrata,1.66472303206997
Complex,C. glabrata,1.01754385964912
Complex,C. glabrata,1.70087976539589
Complex,C. glabrata,1.66472303206997
Complex,C. glabrata,2.08529411764706
Complex,C. glabrata,1.01935483870968
Complex,C. glabrata,1.0187265917603
Complex,C. glabrata,2.03790087463557
Complex,C. glabrata,1.70087976539589
Complex,C. glabrata,2.08529411764706
Complex,C. glabrata,2.03790087463557
Complex,C. glabrata,2.08529411764706
Complex,C. glabrata,2.03790087463557
Complex,C. glabrata,1.31410256410256
Complex,C. glabrata,1.01812688821752
Complex,C. glabrata,1.01754385964912
Complex,C. glabrata,1.04081632653061
Complex,C. glabrata,1.02631578947368
Complex,C. glabrata,1.01333333333333
Complex,C. glabrata,1.00649350649351
Complex,C. glabrata,1.01923076923077
Complex,C. glabrata,1.01226993865031
Complex,C. glabrata,1.01592356687898
Complex,C. glabrata,1.02222222222222
Complex,C. glabrata,1.01759530791789
Complex,C. glabrata,1.01234567901235
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01169590643275
Complex,C. glabrata,1.02153846153846
Complex,C. glabrata,1.01851851851852
Complex,C. glabrata,1.04444444444444
Complex,C. glabrata,1.03363914373089
Complex,C. glabrata,1.00903614457831
Complex,C. glabrata,1.00584795321637
Complex,C. glabrata,1.02040816326531
Complex,C. glabrata,1.00664451827243
Complex,C. glabrata,1.01650165016502
Complex,C. glabrata,1.02688172043011
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01408450704225
Complex,C. glabrata,1.00326797385621
Complex,C. glabrata,1.02153846153846
Complex,C. glabrata,1.01333333333333
Complex,C. glabrata,1.04262295081967
Complex,C. glabrata,1.02166064981949
Complex,C. glabrata,1.02395209580838
Complex,C. glabrata,1.01449275362319
Complex,C. glabrata,1.00892857142857
Complex,C. glabrata,1.0096463022508
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00630914826498
Complex,C. glabrata,1.0036496350365
Complex,C. glabrata,1.00682593856655
Complex,C. glabrata,1.02281368821293
Complex,C. glabrata,1.01127819548872
Complex,C. glabrata,1.01538461538462
Complex,C. glabrata,1.04373177842566
Complex,C. glabrata,1.04140127388535
Complex,C. glabrata,1.01307189542484
Complex,C. glabrata,1.01345291479821
Complex,C. glabrata,1.06944444444444
Complex,C. glabrata,1.02083333333333
Complex,C. glabrata,1.01238390092879
Complex,C. glabrata,1.01754385964912
Complex,C. glabrata,1.01597444089457
Complex,C. glabrata,1.01466275659824
Complex,C. glabrata,1.01302931596091
Complex,C. glabrata,1.01775147928994
Complex,C. glabrata,1.02932551319648
Complex,C. glabrata,1.00949367088608
Complex,C. glabrata,1.02127659574468
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02631578947368
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00615384615385
Complex,C. glabrata,1.02134146341463
Complex,C. glabrata,1.00906344410876
Complex,C. glabrata,1.01582278481013
Complex,C. glabrata,1.02346041055718
Complex,C. glabrata,1.00666666666667
Complex,C. glabrata,1.00909090909091
Complex,C. glabrata,1.00687285223368
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01604278074866
Complex,C. glabrata,1.02857142857143
Complex,C. glabrata,1.01577287066246
Complex,C. glabrata,1.00591715976331
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01470588235294
Complex,C. glabrata,1.02215189873418
Complex,C. glabrata,1.01223241590214
Complex,C. glabrata,1.00892857142857
Complex,C. glabrata,1.00934579439252
Complex,C. glabrata,5.85422740524781
Complex,C. glabrata,1.01169590643275
Complex,C. glabrata,1.00887573964497
Complex,C. glabrata,1.01769911504425
Complex,C. glabrata,1.04024767801858
Complex,C. glabrata,1.03498542274052
Complex,C. glabrata,1.03115264797508
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01646090534979
Complex,C. glabrata,1.04191616766467
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02095808383234
Complex,C. glabrata,1.14186851211073
Complex,C. glabrata,1.01510574018127
Complex,C. glabrata,1.01506024096386
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02140672782875
Complex,C. glabrata,1.02970297029703
Complex,C. glabrata,1.01823708206687
Complex,C. glabrata,1.02265372168285
Complex,C. glabrata,1.08479532163743
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01457725947522
Complex,C. glabrata,1.03244837758112
Complex,C. glabrata,1.042071197411
Complex,C. glabrata,1.00319488817891
Complex,C. glabrata,1.04498269896194
Complex,C. glabrata,1.01186943620178
Complex,C. glabrata,1.04088050314465
Complex,C. glabrata,1.01967213114754
Complex,C. glabrata,1.01945525291829
Complex,C. glabrata,1.01271186440678
Complex,C. glabrata,1.02752293577982
Complex,C. glabrata,1.01506024096386
Complex,C. glabrata,1.03939393939394
Complex,C. glabrata,1.04804804804805
Complex,C. glabrata,1.05047318611987
Complex,C. glabrata,1.01208459214502
Complex,C. glabrata,1.00990099009901
Complex,C. glabrata,1.05047318611987
Complex,C. glabrata,1.04398826979472
Complex,C. glabrata,1.02453987730061
Complex,C. glabrata,1.01223241590214
Complex,C. glabrata,1.00316455696203
Complex,C. glabrata,1.01307189542484
Complex,C. glabrata,1.03834808259587
Complex,C. glabrata,1.01176470588235
Complex,C. glabrata,1.00874635568513
Complex,C. glabrata,1.00955414012739
Complex,C. glabrata,1.01083032490975
Complex,C. glabrata,1.00877192982456
Complex,C. glabrata,1.00583090379009
Complex,C. glabrata,1.01071428571429
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00874635568513
Complex,C. glabrata,1.0233918128655
Complex,C. glabrata,1.94169096209913
Complex,C. glabrata,1.02654867256637
Complex,C. glabrata,1.01408450704225
Complex,C. glabrata,1.01775147928994
Complex,C. glabrata,1.0
Complex,C. glabrata,1.03880597014925
Complex,C. glabrata,1.01457725947522
Complex,C. glabrata,1.00595238095238
Complex,C. glabrata,1.01212121212121
Complex,C. glabrata,1.00943396226415
Complex,C. glabrata,1.01166180758017
Complex,C. glabrata,1.02089552238806
Complex,C. glabrata,1.01060070671378
Complex,C. glabrata,1.02816901408451
Complex,C. glabrata,1.00615384615385
Complex,C. glabrata,1.03790087463557
Complex,C. glabrata,1.00589970501475
Complex,C. glabrata,1.0030303030303
Complex,C. glabrata,1.01223241590214
Complex,C. glabrata,2.04956268221574
Complex,C. glabrata,1.00931677018634
Complex,C. glabrata,1.02912621359223
Complex,C. glabrata,1.00301204819277
Complex,C. glabrata,1.01791044776119
Complex,C. glabrata,1.00952380952381
Complex,C. glabrata,2.02915451895044
Complex,C. glabrata,1.00887573964497
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00925925925926
Complex,C. glabrata,1.02941176470588
Complex,C. glabrata,2.04956268221574
Complex,C. glabrata,1.0031847133758
Complex,C. glabrata,1.00914634146341
Complex,C. glabrata,1.01253918495298
Complex,C. glabrata,1.01865671641791
Complex,C. glabrata,1.00931677018634
Complex,C. glabrata,1.01612903225806
Complex,C. glabrata,2.02915451895044
Complex,C. glabrata,1.0125786163522
Complex,C. glabrata,1.01898734177215
Complex,C. glabrata,1.01470588235294
Complex,C. glabrata,1.01515151515152
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01282051282051
Complex,C. glabrata,1.06470588235294
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00331125827815
Complex,C. glabrata,1.00641025641026
Complex,C. glabrata,1.01238390092879
Complex,C. glabrata,1.02949852507375
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0
Complex,C. glabrata,1.06984126984127
Complex,C. glabrata,1.01904761904762
Complex,C. glabrata,1.0059880239521
Complex,C. glabrata,1.00660066006601
Complex,C. glabrata,1.0117994100295
Complex,C. glabrata,1.02893890675241
Complex,C. glabrata,1.00955414012739
Complex,C. glabrata,1.00296735905045
Complex,C. glabrata,1.01239669421488
Complex,C. glabrata,1.00301204819277
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0
Complex,C. glabrata,1.09580838323353
Complex,C. glabrata,1.00906344410876
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02476780185759
Complex,C. glabrata,1.04093567251462
Complex,C. glabrata,1.00877192982456
Complex,C. glabrata,1.00711743772242
Complex,C. glabrata,1.00900900900901
Complex,C. glabrata,1.04545454545455
Complex,C. glabrata,1.01515151515152
Complex,C. glabrata,1.02083333333333
Complex,C. glabrata,1.85964912280702
Complex,C. glabrata,1.0
Complex,C. glabrata,1.08196721311475
