# Feature selection method: CHI2
# The features were ranked according to their importance, the topper the more important the feature is
=======================
feature	CHI-value
f.3	1765.265
f.1	1649.817
f.2	599.300
f.77	350.799
f.53	339.550
f.13	328.961
f.38	315.428
f.9	314.382
f.5	307.303
f.23	292.416
f.40	285.987
f.10	249.815
f.56	240.402
f.6	205.396
f.15	201.647
f.41	198.643
f.21	195.903
f.29	191.403
f.82	176.824
f.63	164.592
f.26	152.366
f.74	147.093
f.7	146.354
f.42	145.872
f.81	143.034
f.44	141.387
f.18	139.384
f.19	136.638
f.47	136.120
f.83	135.743
f.20	122.760
f.48	120.954
f.79	116.378
f.72	115.645
f.35	113.759
f.8	112.687
f.22	112.084
f.58	109.219
f.46	108.033
f.17	106.926
f.14	105.648
f.12	105.427
f.55	104.194
f.73	101.432
f.84	101.149
f.4	99.897
f.31	93.921
f.62	93.325
f.61	87.625
f.50	86.408
f.76	84.620
f.43	84.054
f.68	73.412
f.69	73.392
f.49	71.615
f.65	70.317
f.39	70.263
f.54	70.179
f.37	69.264
f.36	68.675
f.33	68.007
f.11	67.637
f.75	67.109
f.34	65.692
f.70	64.817
f.71	64.733
f.57	63.419
f.24	61.320
f.25	59.632
f.51	58.058
f.60	50.459
f.30	45.835
f.45	45.097
f.28	42.230
f.52	36.298
f.78	35.439
f.64	30.733
f.27	27.299
f.66	26.027
f.32	21.949
f.16	21.156
f.67	20.990
f.80	14.100
f.59	9.671
